PSD Filename,Size of File,Start Time,End Time,Time Taken
50-instagram-banners-32N6FMW_175.psd,461294,196.256219629,198.216362797,1.9601431680000017
Instagram Post 6.psd,786158,196.244698213,198.431686839,2.186988626000016
Google Banner 250x250.psd,1993919,198.319780297,198.465558589,0.145778292000017
01_Highlights Icon.psd,908509,196.255823379,199.696656714,3.440833335000008
bread-and-butter-food-instagram-post-MSEEGG7_6.psd,18322238,198.513141922,200.260648506,1.747506584000007
bread-and-butter-food-instagram-post-MSEEGG7_31.psd,18638428,198.555456464,200.312651464,1.7571949999999958
50-instagram-banners-32N6FMW_117.psd,1563344,199.753823381,201.00111959,1.2472962090000124
bakery-social-media-kit-psd-ai-template-BZWX4CG_37.psd,776571,200.373756964,202.734339341,2.3605823770000143
Instagram Story 4.psd,701526,200.315647714,202.819165757,2.503518043000014
47-07.psd,736226,201.12371684,204.058863966,2.935147126000004
50-instagram-banners-32N6FMW_111.psd,822945,202.894593466,204.77307805,1.878484584000006
Social Media Food - 11.psd,720882,202.778887591,206.704848217,3.9259606260000055
Instagram Story 7.psd,881188,206.768556384,208.762555843,1.9939994590000083
banner-pack-vol-07-food-new-menu-XTYCGE4_9.psd,1944377,204.933091842,209.998429219,5.065337376999992
30-instagram-food-restaurant-banners-EPSN59_11.psd,915820,208.847339969,211.456018178,2.608678209000004
50-instagram-banners-32N6FMW_62.psd,1553854,210.101489261,211.695919136,1.5944298749999746
asian-food-instagram-post-template-LKQ6TT3_47.psd,3030535,211.732300678,215.785876513,4.053575835000004
breakfast-menu-restaurant-flyer-ad-web-banner-26LXPFL_7.psd,14338722,204.277235591,216.22834368,11.951108089000002
30-instagram-food-restaurant-banners-EPSN59_45.psd,941404,216.505850513,218.680493389,2.1746428759999787
08 Post.psd,78613558,214.377106429,219.986769848,5.609663418999986
Social Media Food - 12.psd,688036,217.387300014,220.379448307,2.9921482929999854
Tibon - Steak_House_Instagram_Template-05.psd,510550,220.416455723,222.352658141,1.9362024179999933
Google Banner 336x280.psd,2609003,222.455466266,222.683551641,0.2280853750000062
Facebook Banner 1200x628.psd,6113665,220.657831682,223.137646641,2.4798149590000094
Ip-10-04.psd,829612,220.073024307,223.149299016,3.076274708999989
Instagram Post Vol. 79-02.psd,466041,222.716883933,223.623589225,0.906705291999998
Ip-10-08.psd,769160,223.194102725,226.145217893,2.951115168000001
30-instagram-food-restaurant-banners-EPSN59_37.psd,1237791,223.727050017,226.622677101,2.895627083999983
Swag - Food - Instagram template-01.psd,18541416,223.360562725,228.584164061,5.2236013360000015
